Model,MDO4024C
Firmware Version,1.02

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.2,,,
Horizontal Delay,0,,,
Sample Interval,0.0002,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,10,10,10,10
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.05,0.05,0.05,1
Vertical Position,0,0,0,0
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-9.826000e-01,-0.00632031,-0.0371172,0.001125,1.59594
-9.824000e-01,-0.00494531,-0.0233203,0.00110156,1.18219
-9.822000e-01,-0.00025,0.00919531,0.00196875,-0.065
-9.820000e-01,0.00419531,0.032875,0.00311719,-1.24906
-9.818000e-01,0.00430469,0.0338281,0.00316406,-1.51156
-9.816000e-01,0.00075,0.0141016,0.00300781,-0.651719
-9.814000e-01,-0.00307813,-0.0202969,0.00167969,0.678906
-9.812000e-01,-0.00633594,-0.0369766,0.00117187,1.55563
-9.810000e-01,-0.00570312,-0.0266562,0.00102344,1.30859
-9.808000e-01,-0.000820312,0.00425781,0.00185938,0.130312
-9.806000e-01,0.004,0.0302812,0.00276562,-1.11953
-9.804000e-01,0.00420313,0.0346484,0.00310156,-1.54906
-9.802000e-01,0.00178906,0.0185859,0.00321094,-0.826094
-9.800000e-01,-0.00235937,-0.0161016,0.00208594,0.495156
-9.798000e-01,-0.00628125,-0.0365078,0.00107813,1.49297
-9.796000e-01,-0.00566406,-0.0294609,0.00110156,1.41578
-9.794000e-01,-0.00105469,-0.0010625,0.00189844,0.325781
-9.792000e-01,0.00309375,0.0275391,0.00250781,-0.97375
-9.790000e-01,0.00434375,0.0358984,0.00286719,-1.56062
-9.788000e-01,0.0028125,0.0227266,0.00299219,-0.9875
-9.786000e-01,-0.00203906,-0.0116797,0.002375,0.307031
-9.784000e-01,-0.0064375,-0.0350937,0.00117187,1.40766
-9.782000e-01,-0.00626563,-0.0316016,0.001375,1.50172
-9.780000e-01,-0.00186719,-0.00608594,0.00177344,0.513594
-9.778000e-01,0.00224219,0.0247422,0.003125,-0.808125
-9.776000e-01,0.00447656,0.0362969,0.0033125,-1.54563
-9.774000e-01,0.00371875,0.0260547,0.0034375,-1.13297
-9.772000e-01,-0.00145312,-0.00672656,0.00280469,0.110469
-9.770000e-01,-0.00613281,-0.0331797,0.00149219,1.29922
-9.768000e-01,-0.00595313,-0.0333203,0.00164844,1.56297
-9.766000e-01,-0.00233594,-0.0108906,0.00184375,0.697656
-9.764000e-01,0.00128906,0.0216406,0.00285937,-0.632656
-9.762000e-01,0.00434375,0.0368594,0.00376562,-1.50734
-9.760000e-01,0.00408594,0.0288984,0.00385937,-1.25953
-9.758000e-01,-0.00115625,-0.000804688,0.00271875,-0.0842187
-9.756000e-01,-0.00570312,-0.0303125,0.00208594,1.16797
-9.754000e-01,-0.00603125,-0.0351016,0.00134375,1.59781
-9.752000e-01,-0.00308594,-0.0154922,0.00153125,0.874688
-9.750000e-01,0.000976562,0.0177891,0.00252344,-0.449688
-9.748000e-01,0.00466406,0.0359297,0.00328906,-1.44453
-9.746000e-01,0.00466406,0.0304922,0.00321875,-1.36703
-9.744000e-01,-0.00034375,0.00440625,0.00279687,-0.277031
-9.742000e-01,-0.00476562,-0.0279766,0.00186719,1.02109
-9.740000e-01,-0.0064375,-0.0366406,0.00133594,1.61109
-9.738000e-01,-0.00446094,-0.0195703,0.00153906,1.03672
-9.736000e-01,0.000195313,0.0135,0.00216406,-0.259219
-9.734000e-01,0.00445313,0.0345625,0.00334375,-1.35828
-9.732000e-01,0.00452344,0.0322422,0.00355469,-1.4525
-9.730000e-01,3.90625e-05,0.00955469,0.00314063,-0.466406
-9.728000e-01,-0.00397656,-0.0240859,0.0019375,0.8575
-9.726000e-01,-0.00645313,-0.0368594,0.00145312,1.59891
-9.724000e-01,-0.00521094,-0.0234375,0.00139844,1.18172
-9.722000e-01,-0.000515625,0.00936719,0.0019375,-0.065625
-9.720000e-01,0.00415625,0.0327344,0.00289062,-1.24875
-9.718000e-01,0.00439063,0.0337266,0.00303906,-1.51047
-9.716000e-01,0.000765625,0.0141641,0.00289062,-0.647969
-9.714000e-01,-0.00321094,-0.0202109,0.00150781,0.681094
-9.712000e-01,-0.00635156,-0.0370391,0.00121875,1.55734
-9.710000e-01,-0.00575781,-0.0268828,0.00120312,1.30828
-9.708000e-01,-0.000625,0.00440625,0.00202344,0.130938
-9.706000e-01,0.00364844,0.0304062,0.00304688,-1.12047
-9.704000e-01,0.00413281,0.0347344,0.00345313,-1.54844
-9.702000e-01,0.0015,0.0183047,0.00320313,-0.823281
-9.700000e-01,-0.00303125,-0.01625,0.00213281,0.496563
-9.698000e-01,-0.00692188,-0.0367891,0.00115625,1.49453
-9.696000e-01,-0.006125,-0.0292422,0.000945312,1.41625
-9.694000e-01,-0.00160938,-0.001125,0.00152344,0.323437
-9.692000e-01,0.00292187,0.0272109,0.00265625,-0.972656
-9.690000e-01,0.00416406,0.0355313,0.00264844,-1.55984
-9.688000e-01,0.00283594,0.0224453,0.00258594,-0.985
