Model,MDO4024C
Firmware Version,1.02

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.1,,,
Horizontal Delay,0,,,
Sample Interval,0.0001,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,10,10,10,10
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.5,0.5,0.5,0.2
Vertical Position,2.08,-0.1,-2.04,-2.96
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-5.000000e-01,-0.384688,0.288516,0.0746875,-0.167219
-4.999000e-01,-0.334141,0.257969,0.118437,-0.192469
-4.998000e-01,-0.208984,0.159844,0.120469,-0.143688
-4.997000e-01,0.00132812,-0.0271094,0.111172,-0.0340625
-4.996000e-01,0.238516,-0.269844,0.0915625,0.0887187
-4.995000e-01,0.330313,-0.367188,0.0361719,0.181125
-4.994000e-01,0.250469,-0.272266,-0.0345312,0.208687
-4.993000e-01,0.113438,-0.0985937,-0.0658594,0.157781
-4.992000e-01,-0.0800781,0.0767969,-0.0482031,0.0517187
-4.991000e-01,-0.293672,0.228984,0.00671875,-0.0728438
-4.990000e-01,-0.384531,0.289219,0.0753125,-0.1675
-4.989000e-01,-0.333828,0.258203,0.11875,-0.192344
-4.988000e-01,-0.209219,0.159297,0.119922,-0.14425
-4.987000e-01,7.8125e-05,-0.0286719,0.110391,-0.0345
-4.986000e-01,0.236563,-0.269922,0.0911719,0.0880937
-4.985000e-01,0.329687,-0.368438,0.0357812,0.181031
-4.984000e-01,0.249844,-0.272734,-0.0354687,0.207906
-4.983000e-01,0.112578,-0.0984375,-0.065625,0.157437
-4.982000e-01,-0.0797656,0.078125,-0.0467969,0.0518437
-4.981000e-01,-0.293359,0.22875,0.00671875,-0.0724688
-4.980000e-01,-0.384531,0.289297,0.07625,-0.167031
-4.979000e-01,-0.333438,0.258594,0.119609,-0.192531
-4.978000e-01,-0.208047,0.16,0.121016,-0.143906
-4.977000e-01,0.00179687,-0.0294531,0.111328,-0.0339375
-4.976000e-01,0.237656,-0.269609,0.0921094,0.0882812
-4.975000e-01,0.329609,-0.369063,0.0364062,0.18125
-4.974000e-01,0.249922,-0.273594,-0.0353906,0.208406
-4.973000e-01,0.112891,-0.0985937,-0.0653125,0.157781
-4.972000e-01,-0.0817188,0.0774219,-0.0476562,0.0520625
-4.971000e-01,-0.293516,0.228047,0.00578125,-0.0727188
-4.970000e-01,-0.385391,0.288828,0.0745313,-0.167344
-4.969000e-01,-0.335,0.258203,0.118047,-0.192312
-4.968000e-01,-0.209766,0.159766,0.119687,-0.143813
-4.967000e-01,0.00203125,-0.0291406,0.110391,-0.0338438
-4.966000e-01,0.237656,-0.269609,0.0908594,0.088625
-4.965000e-01,0.33,-0.367344,0.0353906,0.1815
-4.964000e-01,0.249531,-0.274141,-0.0359375,0.208625
-4.963000e-01,0.112578,-0.098125,-0.0660156,0.157969
-4.962000e-01,-0.0811719,0.0776563,-0.0479688,0.0519062
-4.961000e-01,-0.293594,0.228438,0.00664062,-0.0729063
-4.960000e-01,-0.384922,0.289062,0.0748437,-0.167625
