Model,MDO4024C
Firmware Version,1.02

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.1,,,
Horizontal Delay,0,,,
Sample Interval,0.0001,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,10,10,10,10
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.5,0.5,0.5,1
Vertical Position,2.08,-0.1,-2.04,-2.96
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-4.912000e-01,-0.0303125,0.005,0.0403906,0.0125
-4.911000e-01,-0.0286719,0.00523437,0.0407031,0.006875
-4.910000e-01,-0.0285156,0.00414063,0.0403906,0.0021875
-4.909000e-01,-0.029375,0.00492187,0.0409375,-0.00234375
-4.908000e-01,-0.0304688,0.0059375,0.0407031,-0.00890625
-4.907000e-01,-0.0260156,0.00640625,0.0413281,-0.0134375
-4.906000e-01,-0.024375,0.0046875,0.0409375,-0.0170313
-4.905000e-01,-0.0272656,0.00648438,0.0414844,-0.0207813
-4.904000e-01,-0.0309375,0.00929688,0.0416406,-0.0267188
-4.903000e-01,-0.0283594,0.00960938,0.0413281,-0.0326563
-4.902000e-01,-0.0252344,0.00609375,0.0414844,-0.0364063
-4.901000e-01,-0.0249219,0.00539063,0.0411719,-0.0409375
-4.900000e-01,-0.02875,0.0078125,0.0410156,-0.0439063
-4.899000e-01,-0.0285156,0.00945312,0.0410156,-0.0490625
-4.898000e-01,-0.0250781,0.00820312,0.04125,-0.0529688
-4.897000e-01,-0.0249219,0.00515625,0.0410938,-0.0579688
-4.896000e-01,-0.0270313,0.00742188,0.0414844,-0.0626563
-4.895000e-01,-0.0297656,0.00914062,0.0411719,-0.0690625
-4.894000e-01,-0.0296875,0.00875,0.0407031,-0.0739063
-4.893000e-01,-0.0279688,0.00757813,0.0410156,-0.078125
-4.892000e-01,-0.0288281,0.00671875,0.0410938,-0.0845312
-4.891000e-01,-0.0299219,0.00804688,0.04125,-0.0873438
-4.890000e-01,-0.0305469,0.00960938,0.0414844,-0.0920313
-4.889000e-01,-0.0303125,0.00828125,0.0411719,-0.0998438
-4.888000e-01,-0.0277344,0.00679688,0.0409375,-0.102656
-4.887000e-01,-0.0282031,0.00796875,0.0415625,-0.107031
-4.886000e-01,-0.0295313,0.00992188,0.0421875,-0.111563
-4.885000e-01,-0.0282031,0.0105469,0.0421875,-0.116406
-4.884000e-01,-0.0282031,0.00914062,0.0416406,-0.120781
-4.883000e-01,-0.0307031,0.00890625,0.0411719,-0.126719
-4.882000e-01,-0.033125,0.0101562,0.0407812,-0.132969
-4.881000e-01,-0.0317188,0.00953125,0.0410938,-0.1375
-4.880000e-01,-0.02875,0.00710938,0.0409375,-0.142969
-4.879000e-01,-0.0301563,0.0065625,0.0405469,-0.14625
-4.878000e-01,-0.0336719,0.00859375,0.0400781,-0.15125
-4.877000e-01,-0.0335938,0.0101562,0.0407812,-0.155625
-4.876000e-01,-0.0311719,0.00867188,0.0407812,-0.16
-4.875000e-01,-0.0316406,0.00765625,0.0405469,-0.1625
-4.874000e-01,-0.0332812,0.00929688,0.0402344,-0.169219
-4.873000e-01,-0.0320312,0.0107031,0.04125,-0.173594
-4.872000e-01,-0.0319531,0.00976562,0.0410156,-0.17875
-4.871000e-01,-0.0339844,0.0096875,0.0409375,-0.181094
-4.870000e-01,-0.0357813,0.0115625,0.0411719,-0.186406
-4.869000e-01,-0.0359375,0.0125781,0.0414062,-0.189062
-4.868000e-01,-0.0334375,0.0110937,0.0410938,-0.192188
-4.867000e-01,-0.0325781,0.00976562,0.0414062,-0.195469
-4.866000e-01,-0.03375,0.01,0.0413281,-0.19875
-4.865000e-01,-0.0353125,0.0117969,0.0414844,-0.204219
-4.864000e-01,-0.0360156,0.0114844,0.0413281,-0.206406
-4.863000e-01,-0.0339063,0.0110156,0.0410156,-0.209219
-4.862000e-01,-0.0339844,0.00960938,0.0411719,-0.212031
-4.861000e-01,-0.0349219,0.00976562,0.0409375,-0.215937
-4.860000e-01,-0.0354687,0.0108594,0.04125,-0.219531
-4.859000e-01,-0.0364844,0.0119531,0.0413281,-0.222656
-4.858000e-01,-0.0371094,0.0122656,0.0407031,-0.226562
-4.857000e-01,-0.0367187,0.0121094,0.0408594,-0.231094
-4.856000e-01,-0.03625,0.0110156,0.0407031,-0.235469
-4.855000e-01,-0.0357031,0.0107031,0.0407031,-0.240625
-4.854000e-01,-0.0364062,0.0114062,0.0415625,-0.244687
-4.853000e-01,-0.0389062,0.0119531,0.04125,-0.250625
-4.852000e-01,-0.0389844,0.0135156,0.0415625,-0.255313
-4.851000e-01,-0.0396875,0.0122656,0.0407031,-0.259688
-4.850000e-01,-0.0391406,0.0108594,0.0400781,-0.266563
-4.849000e-01,-0.0396094,0.00929688,0.0396875,-0.270156
-4.848000e-01,-0.0405469,0.0103125,0.0400781,-0.275156
-4.847000e-01,-0.0414062,0.0107031,0.0401563,-0.2775
-4.846000e-01,-0.0404688,0.0113281,0.0401563,-0.281094
-4.845000e-01,-0.0396094,0.0107031,0.0404687,-0.286406
-4.844000e-01,-0.0396094,0.0109375,0.0402344,-0.290781
-4.843000e-01,-0.0390625,0.0117969,0.0407031,-0.294688
-4.842000e-01,-0.0379688,0.0117969,0.0409375,-0.298437
-4.841000e-01,-0.0391406,0.011875,0.0404687,-0.301094
-4.840000e-01,-0.0405469,0.0125781,0.0404687,-0.305
-4.839000e-01,-0.040625,0.0123438,0.0405469,-0.308125
-4.838000e-01,-0.0409375,0.0123438,0.040625,-0.310781
-4.837000e-01,-0.0420312,0.0117969,0.0403906,-0.314375
-4.836000e-01,-0.0421094,0.0120313,0.0404687,-0.318125
-4.835000e-01,-0.0420312,0.0125781,0.0399219,-0.320312
-4.834000e-01,-0.0425781,0.0123438,0.039375,-0.322969
-4.833000e-01,-0.0419531,0.0123438,0.0397656,-0.324844
-4.832000e-01,-0.0420312,0.0114844,0.0396094,-0.328594
-4.831000e-01,-0.0422656,0.0115625,0.0400781,-0.331406
-4.830000e-01,-0.044375,0.0122656,0.0400781,-0.336094
-4.829000e-01,-0.0439844,0.0138281,0.0398437,-0.338906
-4.828000e-01,-0.0434375,0.0130469,0.0400781,-0.3425
-4.827000e-01,-0.0416406,0.0119531,0.0402344,-0.344688
-4.826000e-01,-0.0423438,0.0109375,0.0402344,-0.347813
-4.825000e-01,-0.0434375,0.013125,0.0399219,-0.354219
-4.824000e-01,-0.0432813,0.0135938,0.0396094,-0.357344
-4.823000e-01,-0.04,0.010625,0.0396094,-0.359688
-4.822000e-01,-0.0408594,0.00953125,0.0397656,-0.364688
-4.821000e-01,-0.0459375,0.0127344,0.0396875,-0.3675
-4.820000e-01,-0.0469531,0.0128125,0.039375,-0.372031
-4.819000e-01,-0.0408594,0.00929688,0.0389844,-0.377969
-4.818000e-01,-0.0391406,0.00632813,0.0391406,-0.379531
-4.817000e-01,-0.0439844,0.01,0.0395313,-0.381563
-4.816000e-01,-0.0469531,0.014375,0.0392969,-0.385156
-4.815000e-01,-0.0401563,0.0140625,0.0407031,-0.388594
-4.814000e-01,-0.0366406,0.00882812,0.0401563,-0.392187
-4.813000e-01,-0.0396094,0.0096875,0.0408594,-0.394375
-4.812000e-01,-0.0423438,0.0132813,0.040625,-0.401094
-4.811000e-01,-0.0394531,0.0133594,0.0410938,-0.402031
-4.810000e-01,-0.0361719,0.01,0.0402344,-0.405156
-4.809000e-01,-0.0370313,0.00882812,0.0405469,-0.408594
-4.808000e-01,-0.0394531,0.0115625,0.0405469,-0.409687
-4.807000e-01,-0.0392969,0.0123438,0.0404687,-0.414531
-4.806000e-01,-0.0371875,0.0101562,0.0403906,-0.421094
-4.805000e-01,-0.0367187,0.00867188,0.0403906,-0.420937
-4.804000e-01,-0.03875,0.00921875,0.0399219,-0.426719
-4.803000e-01,-0.0388281,0.0096875,0.0397656,-0.427969
-4.802000e-01,-0.0355469,0.0096875,0.0396094,-0.43125
-4.801000e-01,-0.0357813,0.00796875,0.0396094,-0.434844
-4.800000e-01,-0.03625,0.00773438,0.0396094,-0.437656
-4.799000e-01,-0.0367187,0.0090625,0.0398437,-0.439844
-4.798000e-01,-0.03625,0.00820312,0.0394531,-0.446563
-4.797000e-01,-0.0340625,0.00828125,0.04,-0.448438
-4.796000e-01,-0.0333594,0.00671875,0.0396094,-0.451875
-4.795000e-01,-0.0339844,0.00796875,0.0402344,-0.453906
-4.794000e-01,-0.0339844,0.0084375,0.0405469,-0.455781
-4.793000e-01,-0.0332031,0.00695313,0.0396875,-0.458594
-4.792000e-01,-0.0321875,0.0059375,0.0396875,-0.461875
-4.791000e-01,-0.0327344,0.00671875,0.0395313,-0.465625
-4.790000e-01,-0.0340625,0.0078125,0.0392187,-0.466719
-4.789000e-01,-0.0330469,0.00773438,0.0396094,-0.47125
-4.788000e-01,-0.03375,0.00710938,0.0396094,-0.471875
-4.787000e-01,-0.035,0.00695313,0.039375,-0.473906
-4.786000e-01,-0.0340625,0.00625,0.0388281,-0.479062
-4.785000e-01,-0.0315625,0.00453125,0.0388281,-0.48125
-4.784000e-01,-0.0314844,0.00328125,0.0384375,-0.484375
-4.783000e-01,-0.0327344,0.00578125,0.0392187,-0.483594
-4.782000e-01,-0.0325781,0.00710938,0.0391406,-0.488281
-4.781000e-01,-0.031875,0.0065625,0.0391406,-0.488594
-4.780000e-01,-0.0305469,0.00546875,0.0392969,-0.492031
-4.779000e-01,-0.0307812,0.00585938,0.039375,-0.493594
-4.778000e-01,-0.0320312,0.00671875,0.0394531,-0.495781
-4.777000e-01,-0.0315625,0.00632813,0.0397656,-0.499062
-4.776000e-01,-0.0302344,0.00515625,0.0396875,-0.500938
-4.775000e-01,-0.0292188,0.00453125,0.0396875,-0.502969
-4.774000e-01,-0.0314844,0.00484375,0.0398437,-0.506563
-4.773000e-01,-0.03375,0.00679688,0.0391406,-0.506094
-4.772000e-01,-0.0334375,0.00609375,0.0390625,-0.508906
-4.771000e-01,-0.0315625,0.00515625,0.0396094,-0.510938
-4.770000e-01,-0.0307812,0.0040625,0.0396094,-0.512812
-4.769000e-01,-0.0316406,0.00429687,0.0389844,-0.517969
-4.768000e-01,-0.0296875,0.00515625,0.0394531,-0.517813
-4.767000e-01,-0.0285156,0.00265625,0.0391406,-0.520313
-4.766000e-01,-0.0278125,0.00304688,0.0392969,-0.523594
-4.765000e-01,-0.0308594,0.0046875,0.0392969,-0.525469
-4.764000e-01,-0.0305469,0.00570313,0.0395313,-0.525
-4.763000e-01,-0.0267188,0.00328125,0.0396094,-0.529531
-4.762000e-01,-0.0252344,0.00132812,0.0397656,-0.529219
