Model,MDO4024C
Firmware Version,1.02

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.2,,,
Horizontal Delay,0,,,
Sample Interval,0.0002,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,10,10,10,10
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.05,0.05,0.05,1
Vertical Position,0,0,0,0
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-9.826000e-01,0.00899219,0.0499531,0.00317969,-1.39187
-9.824000e-01,0.00246094,0.0155312,0.00207813,-0.767344
-9.822000e-01,-0.00421094,-0.0248672,0.00096875,0.142969
-9.820000e-01,-0.00903906,-0.0568281,0.000125,1.01625
-9.818000e-01,-0.0107891,-0.0653125,-0.000109375,1.51641
-9.816000e-01,-0.00757031,-0.0480625,4.6875e-05,1.43828
-9.814000e-01,-0.00105469,-0.0108594,0.000742188,0.814375
-9.812000e-01,0.00589844,0.0268906,0.00175,-0.0992188
-9.810000e-01,0.0104922,0.055875,0.00269531,-0.971719
-9.808000e-01,0.0111328,0.0633516,0.0035625,-1.46844
-9.806000e-01,0.00835938,0.0509844,0.004,-1.39281
-9.804000e-01,0.00096875,0.0151172,0.00383594,-0.767813
-9.802000e-01,-0.00574219,-0.0262187,0.00332812,0.140625
-9.800000e-01,-0.0103516,-0.0590781,0.00228125,1.01469
-9.798000e-01,-0.0123438,-0.067875,0.00177344,1.51641
-9.796000e-01,-0.00904687,-0.0497969,0.00150781,1.43875
-9.794000e-01,-0.00232812,-0.0110937,0.00272656,0.816406
-9.792000e-01,0.00414844,0.0276406,0.00407031,-0.0989063
-9.790000e-01,0.00873438,0.0564687,0.00486719,-0.970469
-9.788000e-01,0.0104531,0.0634062,0.00407813,-1.46641
-9.786000e-01,0.00926562,0.0502812,0.00314844,-1.39141
-9.784000e-01,0.00271875,0.0157344,0.00195312,-0.7675
-9.782000e-01,-0.00407813,-0.0247188,0.00101563,0.142031
-9.780000e-01,-0.00860938,-0.0570078,-3.125e-05,1.01625
-9.778000e-01,-0.0107969,-0.064875,-4.6875e-05,1.51547
-9.776000e-01,-0.00717969,-0.0476641,0.000195313,1.43969
-9.774000e-01,-0.000851562,-0.0105859,0.000875,0.816875
-9.772000e-01,0.00599219,0.0270156,0.00171875,-0.098125
-9.770000e-01,0.0106563,0.0563828,0.00285937,-0.972187
-9.768000e-01,0.0115,0.0636875,0.00335156,-1.46922
-9.766000e-01,0.00861719,0.0514453,0.00424219,-1.39344
-9.764000e-01,0.00111719,0.0154531,0.00400781,-0.770156
-9.762000e-01,-0.00582812,-0.0259766,0.00289844,0.140937
-9.760000e-01,-0.0103594,-0.0588203,0.00188281,1.01531
-9.758000e-01,-0.0124609,-0.0676797,0.00114062,1.515
-9.756000e-01,-0.00895313,-0.0497969,0.00161719,1.43688
-9.754000e-01,-0.00238281,-0.0110469,0.00285156,0.813594
-9.752000e-01,0.004125,0.0279219,0.00396875,-0.101406
-9.750000e-01,0.00866406,0.0569375,0.00478906,-0.973438
-9.748000e-01,0.0108594,0.0631328,0.00435938,-1.46953
-9.746000e-01,0.00949219,0.0501094,0.00323438,-1.39266
-9.744000e-01,0.00257031,0.015375,0.00217188,-0.767969
-9.742000e-01,-0.0044375,-0.0249844,0.000789063,0.1425
-9.740000e-01,-0.00909375,-0.0571016,7.8125e-05,1.01469
-9.738000e-01,-0.01075,-0.0651484,-0.00021875,1.51516
-9.736000e-01,-0.0075625,-0.0477266,0.00028125,1.43891
-9.734000e-01,-0.00133594,-0.0105781,0.000734375,0.815469
-9.732000e-01,0.005625,0.0273281,0.00161719,-0.0992188
-9.730000e-01,0.0102656,0.0565391,0.00249219,-0.973594
-9.728000e-01,0.0108516,0.0636641,0.00335937,-1.47
-9.726000e-01,0.00824219,0.0508281,0.00353125,-1.39469
-9.724000e-01,0.001,0.0152734,0.00360938,-0.770313
-9.722000e-01,-0.00610156,-0.0263672,0.0024375,0.140156
-9.720000e-01,-0.0108125,-0.059125,0.00115625,1.01344
-9.718000e-01,-0.0127969,-0.0678594,0.000578125,1.51438
-9.716000e-01,-0.00960156,-0.04975,0.00065625,1.43781
-9.714000e-01,-0.00282812,-0.0111094,0.00196094,0.815625
-9.712000e-01,0.00382031,0.0277656,0.00321875,-0.0989063
-9.710000e-01,0.00846875,0.0564687,0.00424219,-0.973125
-9.708000e-01,0.0104375,0.0632188,0.003625,-1.46938
-9.706000e-01,0.00903125,0.0500703,0.00298438,-1.3925
-9.704000e-01,0.00228906,0.0155703,0.00180469,-0.768281
-9.702000e-01,-0.00421094,-0.0251172,0.000617188,0.143594
-9.700000e-01,-0.00917969,-0.0571719,-0.000195313,1.01766
-9.698000e-01,-0.0111562,-0.0656562,-0.000421875,1.51547
-9.696000e-01,-0.00795313,-0.0479531,4.6875e-05,1.43953
-9.694000e-01,-0.00114062,-0.011,0.000945312,0.815156
-9.692000e-01,0.00564844,0.0271406,0.00171875,-0.0992188
-9.690000e-01,0.0099375,0.0560859,0.0025625,-0.972812
-9.688000e-01,0.0109688,0.0634141,0.00302344,-1.46859
-9.686000e-01,0.00794531,0.0508203,0.0038125,-1.39219
-9.684000e-01,0.000625,0.0150625,0.00310156,-0.769062
-9.682000e-01,-0.00600781,-0.0262266,0.00230469,0.141719
-9.680000e-01,-0.0105625,-0.0590234,0.00144531,1.01594
-9.678000e-01,-0.01275,-0.068125,0.000734375,1.51547
-9.676000e-01,-0.00923437,-0.0498437,0.00090625,1.43797
-9.674000e-01,-0.00286719,-0.0114687,0.00236719,0.815
-9.672000e-01,0.00370313,0.0275156,0.00385937,-0.0990625
-9.670000e-01,0.008375,0.0563594,0.00428906,-0.972031
-9.668000e-01,0.0102813,0.0632812,0.00361719,-1.46891
-9.666000e-01,0.00871875,0.0502031,0.00269531,-1.39266
-9.664000e-01,0.00232812,0.0156875,0.00159375,-0.767188
-9.662000e-01,-0.00439844,-0.0248672,0.0006875,0.143281
-9.660000e-01,-0.00930469,-0.0571094,-3.125e-05,1.01687
-9.658000e-01,-0.0111016,-0.0654062,-0.000273438,1.51734
-9.656000e-01,-0.00784375,-0.0482031,4.6875e-05,1.43953
-9.654000e-01,-0.00123438,-0.0112109,0.000921875,0.814375
-9.652000e-01,0.00571094,0.027125,0.00175781,-0.100781
-9.650000e-01,0.00988281,0.0557969,0.00250781,-0.974531
-9.648000e-01,0.0109297,0.0633984,0.00329687,-1.46984
-9.646000e-01,0.00807813,0.0508984,0.00346875,-1.39563
-9.644000e-01,0.000726562,0.0148984,0.00351563,-0.767656
-9.642000e-01,-0.00571875,-0.0263594,0.00252344,0.140781
-9.640000e-01,-0.0105234,-0.0589609,0.001625,1.015
-9.638000e-01,-0.0127656,-0.0680547,0.000953125,1.51453
-9.636000e-01,-0.00941406,-0.0497109,0.00101563,1.43609
-9.634000e-01,-0.00257031,-0.0112656,0.00234375,0.8125
-9.632000e-01,0.00386719,0.0275234,0.00364844,-0.102656
-9.630000e-01,0.0085625,0.0563203,0.00425781,-0.975469
-9.628000e-01,0.0107891,0.0630078,0.00384375,-1.47094
-9.626000e-01,0.00904687,0.0500937,0.00302344,-1.39187
-9.624000e-01,0.00261719,0.0153516,0.00177344,-0.767813
-9.622000e-01,-0.00424219,-0.0254063,0.000640625,0.142656
-9.620000e-01,-0.00900781,-0.0571797,-0.000234375,1.01703
